image_url,temple_name
https://assets.churchofjesuschrist.org/4f/72/4f72c0ad56e26ceb3c51e2cd623177bed27cc0fd/edmonton_alberta_temple_lds.jpeg,Edmonton Alberta
https://assets.churchofjesuschrist.org/4f/bf/4fbff8f9b4d4bc10041f52b7de02d507c07a2d1c/rendering_abidjan_ivory_coast_temple.jpeg,Rendering Abidjan Ivory Coast
https://assets.churchofjesuschrist.org/51/ed/51edc593152e11ee90afeeeeac1ef99dfe5ba797/mcallen_texas_temple_exterior.jpeg,Mcallen Texas
https://assets.churchofjesuschrist.org/53/2e/532e6fe4aff311eeabe9eeeeac1e28aa290df120/layton_utah_temple_exterior.jpeg,Layton Utah
https://assets.churchofjesuschrist.org/54/34/543450762942ce590f1eb9e43e4b2547d13ee36b/frankfurt_germany_temple_lds.jpeg,Frankfurt Germany
https://assets.churchofjesuschrist.org/55/0b/550bf261ac7911ed8c4beeeeac1e96d814e4a849/saratoga_springs_utah_temple_exteriors.jpeg,Saratoga Springs Utah
https://assets.churchofjesuschrist.org/55/93/5593e96f9dfee7623632ffa05af7807ef7d84c1b/villahermosa_mexico_temple_lds.jpeg,Villahermosa Mexico
https://assets.churchofjesuschrist.org/56/45/5645178ebd90ddf7695f2bbc3e8a31ff51ddc6da/washington_dc_temple.jpeg,Washington Dc
https://assets.churchofjesuschrist.org/57/21/572178871ee23c9cf26a43733ff3749c6d8c5d27/baton_rouge_temple_lds.jpeg,Baton Rouge
https://assets.churchofjesuschrist.org/58/13/581374a61f8732d11ebff1496246465905078e11/oaxaca_mexico_temple_lds.jpeg,Oaxaca Mexico
https://assets.churchofjesuschrist.org/58/8d/588d3a27e2b911ec94adeeeeac1e0a0694f432a0/belem_brazil_temple_exterior.jpeg,Belem Brazil
https://assets.churchofjesuschrist.org/59/a8/59a867c4052795ee6ac95c839229b3ec41b0c656/mexico_city_temple_exterior.jpeg,Mexico City
https://assets.churchofjesuschrist.org/5b/f6/5bf6850468720495a7b35d5ca2e8747354f49f10/santo_domingo_dominican_republic_temple_lds.jpeg,Santo Domingo Dominican Republic
https://assets.churchofjesuschrist.org/5c/27/5c2759fb783b0562d572ccdb4a8b9b6cc10d02f5/san_jose_costa_rica_temple_lds.jpeg,San Jose Costa Rica
https://assets.churchofjesuschrist.org/5d/be/5dbebad7cd20cfc90592b6acb8c5864db3a98ade/chicago_temple_lds.jpeg,Chicago
https://assets.churchofjesuschrist.org/5e/c0/5ec026c4efeaaa19a98e40f0f1b4c6069ae63517/paris_france_temple_exterior.jpeg,Paris France
https://assets.churchofjesuschrist.org/5e/c1/5ec1f6e9b3ee7177d1c7abd1101ac44b96c1f87e/kansas_city_temple_lds.jpeg,Kansas City
https://assets.churchofjesuschrist.org/61/b2/61b20596478021fff20309c8f3772b6a3fc9a0e5/monterrey_mexico_temple_lds.jpeg,Monterrey Mexico
https://assets.churchofjesuschrist.org/62/28/6228cfdbbd6c0d4fa151dcd74eb727cbfe5540d9/philadelphia_pennsylvania_temple.jpeg,Philadelphia Pennsylvania
https://assets.churchofjesuschrist.org/63/ee/63ee0de38ed3430d92daeecaa5e200ed72dc26d9/snowflake_temple_lds.jpeg,Snowflake
https://assets.churchofjesuschrist.org/67/5a/675a15db019ee07ee8cef82de80b2c1d5fd3f862/hague_netherlands_temple_lds.jpeg,Hague Netherlands
https://assets.churchofjesuschrist.org/6b/6e/6b6e41369b16768d4d61dcfe17740cc1b00ecce3/cordoba_argentina_temples_buildings.jpeg,Cordoba Argentina Temples
https://assets.churchofjesuschrist.org/6b/a3/6ba3ebd40bb1c16a76c34b8f5d5e82e2090a023d/fukuoka_japan_temple_lds.jpeg,Fukuoka Japan
https://assets.churchofjesuschrist.org/6c/6a/6c6a3244094011eea991eeeeac1e51e90da95a3a/feather_river_california_temple_exterior.jpeg,Feather River California
https://assets.churchofjesuschrist.org/6c/f5/6cf5534366ee359cb42d7e6eb0daede56939fca8/manti_temple_lds.jpeg,Manti
https://assets.churchofjesuschrist.org/6e/24/6e24b53d5fa5799f2339585e56495744ac80287f/houston_temple_lds.jpeg,Houston
https://assets.churchofjesuschrist.org/6f/e0/6fe0216c68fc3a8b20cf291bcac84bf8d42cc5da/haiti_temple_exterior.jpeg,Haiti
https://assets.churchofjesuschrist.org/6f/f9/6ff95ff62f1c69081fa82f871c3a50d27ac20065/taipei_taiwan_lds_temple.jpeg,Taipei Taiwan Lds
https://assets.churchofjesuschrist.org/70/2a/702a311674a9949283bf2ea756bf5f065455a316/kirtland_temple.jpeg,Kirtland
https://assets.churchofjesuschrist.org/71/18/7118453153811f24bf0da76aba8c7c8dd87d139e/ogden_utah_temple.jpeg,Ogden Utah
https://assets.churchofjesuschrist.org/72/9c/729c84695f8ae992032bac8563ef183abd76867a/columbia_river_temple_lds.jpeg,Columbia River
https://assets.churchofjesuschrist.org/74/90/749035c1a6443b88257c4c5011ffc57222af3164/perth_australia_temple.jpeg,Perth Australia
https://assets.churchofjesuschrist.org/75/a2/75a25fc00384f7067f485315607cc760381f35d2/manila_philippines_temple_lds.jpeg,Manila Philippines
https://assets.churchofjesuschrist.org/75/ea/75ea31e905e607127356042de809cbdc3632b087/san_juan_puerto_rico_temple.jpeg,San Juan Puerto Rico
https://assets.churchofjesuschrist.org/79/66/7966d14e4b63698bddfbfbf57b6ed9dc1649fb5d/boise_idaho_temple_lds.jpeg,Boise Idaho
https://assets.churchofjesuschrist.org/7a/0f/7a0f50d86d25bad2131ff37fa7a90f48b5472df0/laie_temple.jpeg,Laie
https://assets.churchofjesuschrist.org/7a/93/7a934d3165f47ef2573deadb957201908eb3dee6/oakland_temple_lds.jpeg,Oakland
https://assets.churchofjesuschrist.org/7b/6a/7b6a4d1244ef80f58e5fc47da75707a8c3237173/rexburg_temple_lds.jpeg,Rexburg
https://assets.churchofjesuschrist.org/7e/31/7e314b684cb2e8c0a09be9f4a1a237ea74e0669d/payson_temple_exterior.jpeg,Payson
https://assets.churchofjesuschrist.org/7e/71/7e7130b7b9dbfe8be22361e7f6fa566c14a39612/manhattan_temple_lds.jpeg,Manhattan
https://assets.churchofjesuschrist.org/80/14/8014583f04cf39d3f4207a71442310c57002cc67/montreal_quebec_temple.jpeg,Montreal Quebec
